| Item Name                | Price (USD) | Quantity | Total (USD) | Purchase Link |
|--------------------------|-------------|----------|-------------|----------------|
| UNO R3                   | 5.99$       | 1        | 5.99$       | [Link](https://www.aliexpress.com/item/100589916959566.html?spm=a2g0o.productlist.main.2.957d1d921115X0&algo_pvid=7a88f11d-ee0a-40bb-8929-5981d53913f4) |
| Buttons 20pcs            | 1.81$       | 1        | 1.81$       | [Link](https://www.aliexpress.com/item/100500863113806.html?spm=a2g0o.productlist.main.6.206563b7uoME5) |
| Potentiometer 5pcs       | 1.63$       | 1        | 1.63$       | [Link](https://www.aliexpress.com/item/1004880558267333.html?spm=a2g0o.productlist.main.5.52e760295uy2Aq) |
| Resistors                | 1.43$       | 1        | 1.43$       | [Link](https://www.aliexpress.com/item/100500514415189.html?spm=a2g0o.productlist.main.7.7e3d7581f0fbWm) |
| Capacitor 51.18.1        | 1.51$       | 1        | 1.51$       | [Link](https://www.aliexpress.com/item/1005002529478708.html?spm=a2g0o.productlist.main.1.15ac4b1bMhb3Ja) |
| LCD screen 16x2 I2C      | 1.81$       | 1        | 1.81$       | [Link](https://www.aliexpress.com/item/1005007531187322.html?spm=a2g0o.productlist.main.1.57d8ce9WGN8Al) |
| ADAfruit I2C Backpack    | 9.95$       | 1        | 9.95$       | [Link](https://www.adafruit.com/product/1462?gclid=CjwKCAjw0N6wBhAaEiwA2iV1Q3CRQJ) |
| Wires 92                | 0.66$       | 1        | 0.66$       | [Link](https://www.aliexpress.com/item/1005003210996248.html?spm=a2g0o.productlist.main.8.7f98520bN1hTRS) |
| Breadboard              | 1.62$       | 1        | 1.62$       | [Link](https://www.aliexpress.com/item/1005004848511526.html?spm=a2g0o.productlist.main.12.54e7Sf6Vvxupk&algo_pvid=96b7abe8-42e5-4c73-b2a4-d85138466598) |
